Model,RMSE,MAE,R²,MAPE,Category Accuracy,Within 1 AQI
Persistence,0.6886412739037004,0.4329896907216495,-0.8987234042553194,32.47422680141753,0.5876288659793815,0.979381443298969
Moving Average (24h),0.6930455555293218,0.5945017182130584,-0.9230880614657213,46.2414089307442,0.5670103092783505,0.9896907216494846
Linear Regression (Val),0.5918497124131311,0.47308593737064775,-0.40248584949945054,36.07104252907015,0.5979381443298969,0.9175257731958762
