Model,Train RMSE,Val RMSE,Test RMSE,Train MAE,Val MAE,Test MAE,Train R²,Val R²,Test R²,Training Time (s)
MovingAverage-3,0.784142620886399,0.4590941826024669,0.5275783780687109,0.5025528811086798,0.24742268041237114,0.3164983164983165,-0.5669017521596955,0.15612293144208034,-0.14718250630782181,0.000605
MovingAverage-7,0.7658476180146194,0.48974331718388775,0.5267528482911591,0.49828071272272595,0.300441826215022,0.34054834054834054,-0.4946392339941492,0.03968736430742503,-0.14359520090626687,0.000748
LinearRegression,0.20008490580369742,0.5918497124131311,1.0414720559726636,0.1448805648694962,0.47308593737064775,0.8991395442711948,0.8979811788951381,-0.40248584949945054,-3.4704761518453564,0.012198
Persistence,0.5081394388136974,0.739183165783231,0.6195469181897234,0.24507658643326038,0.5463917525773195,0.3838383838383838,0.3420127873493094,-1.1876595744680856,-0.5820016820857865,0.000922
